학교명,감사년도,감사구분,drive 링크
가톨릭대학교,2021,종합감사,https://drive.google.com/file/d/1PNlpGHsf9EFrhWbCmIiBpgekn9mbvhqg/view?usp=sharing
강릉원주대학교,2020,종합감사,https://drive.google.com/file/d/1oGE_yKx1Hp9EJABN33W1Q78inTb2vkHA/view?usp=sharing
경북대학교,2017,종합감사,https://drive.google.com/file/d/16F9QC83K_Uk_0RFKo8Tx1NHJ20a482bD/view?usp=sharing
공주대학교,2018,종합감사,https://drive.google.com/file/d/18zP-cAj7adP6VX9lK71s2WlWf_LxltiG/view?usp=sharing
광주교육대학교,2022,종합감사,https://drive.google.com/file/d/1aqowJiRKUORRSU8g-_E2FRtx0hJ2YBe9/view?usp=sharing
군산대학교,2018,종합감사,https://drive.google.com/file/d/1E4xUdFCGx-YE1GHIlRrro-jmWdQRMu5y/view?usp=sharing
금오공과대학교,2021,종합감사,https://drive.google.com/file/d/1rgXQD325tGRKo4PWAtroRpoJR2BGxpOW/view?usp=sharing
목포대학교,2017,종합감사,https://drive.google.com/file/d/1bV6ni7HmqZe5t_r14wDBdjZnddS1yJhg/view?usp=sharing
목포해양대학교,2019,종합감사,https://drive.google.com/file/d/1K8s3Hzk04iafMNDO2GFo6u6__M9HftdU/view?usp=sharing
부경대학교,2018,종합감사,https://drive.google.com/file/d/1xlyf3IGo_pRyfGA0AjSsER0xFY75zNBH/view?usp=sharing
부산교육대학교,2022,종합감사,https://drive.google.com/file/d/1fDzVx5EVbtwskkaNR-B5qzxDpZDCd2N5/view?usp=sharing
부산대학교치과병원,2021,종합감사,https://drive.google.com/file/d/1m6YUOnKjRnKsOJ6iVBtnbkKK5WVBxdoZ/view?usp=sharing
서울과학기술대학교,2023,종합감사,https://drive.google.com/file/d/1pF5fYfxCcnQUuR53r9M8XtCUxw1wSdcS/view?usp=sharing
서울교육대학교,2017,종합감사,https://drive.google.com/file/d/1gtifNJSYqVBYsG3HeMb0mgUKsvl-D7du/view?usp=sharing
서울대학교,2021,종합감사,https://drive.google.com/file/d/15LGkDHTH8Df9dFsISbQj0OVnBNSix959/view?usp=sharing
서울대학교치과병원,2022,종합감사,https://drive.google.com/file/d/19-lQMXrVyGzpYB2KIelq4CvKA3qGvSGw/view?usp=sharing
순천대학교,2018,종합감사,https://drive.google.com/file/d/1NJFnhL8TRe-AV4ZSmNE1aBtyiaAv1bqe/view?usp=sharing
안동대학교,2020,종합감사,https://drive.google.com/file/d/1LDXHdx-j50RBynCldXsRIb4TpmN44u2c/view?usp=sharing
인천대학교,2020,종합감사,https://drive.google.com/file/d/1PNRE4JRc1C0DpDo8kawVm0yP6IU5DbuR/view?usp=sharing
전남대학교,2024,종합감사,https://drive.google.com/file/d/1n7vzcisjbMd3XopkWLH0ai_C-r1vcOXp/view?usp=sharing
전북대학교,2023,종합감사,https://drive.google.com/file/d/1KTMpS0EogO8Zki6_XSaebBIbSD2txoAU/view?usp=sharing
제주대학교,2019,종합감사,https://drive.google.com/file/d/1AJRPrZ0eNop8y2Cf5xh0_EeVsBom69-m/view?usp=sharing
진주교육대학교,2017,종합감사,https://drive.google.com/file/d/1VDW9bCARw68sOs7OCSM-uCOa7MkCGQfd/view?usp=sharing
창원대학교,2022,종합감사,https://drive.google.com/file/d/1-V6in1h7dO-rswhV2I6cCx_mtqp9A7EA/view?usp=sharing
청주교육대학교,2024,종합감사,https://drive.google.com/file/d/1aUxN-ry7CXs8ViJKanXXItluUXjZw6M0/view?usp=sharing
충남대학교,2017,종합감사,https://drive.google.com/file/d/1djwUkRa3USSdQN1Awq7YT5AqtPvCCT3r/view?usp=sharing
충북대학교,2018,종합감사,https://drive.google.com/file/d/1_MaOU2EeNe0pR5eX8fwa9LgjxokSRpN5/view?usp=sharing
한국교원대학교,2022,종합감사,https://drive.google.com/file/d/1QSOYfoS_eg5lyC9yq88ZCVTR3z-HU5NK/view?usp=sharing
한국교통대학교,2019,종합감사,https://drive.google.com/file/d/1bxObpohiReHwRxvbM6HErTOATDvbbW-u/view?usp=sharing
한국방송통신대학교,2021,종합감사,https://drive.google.com/file/d/1Hp1QmHf4SGsu9N1gGqHjtvCf9sRTr0MR/view?usp=sharing
한국복지대학교,2017,종합감사,https://drive.google.com/file/d/1fQ_qeNUdz1kQeqd_aI76qo9-JoZh-Cpy/view?usp=sharing
한국복지사이버대학교,2021,회계부분감사,https://drive.google.com/file/d/1gs6KgDGHZZLn6oK2LVsE_gA-ouSmBJ9O/view?usp=sharing
한국체육대학교,2019,종합감사,https://drive.google.com/file/d/1CCXS9uYntTAyAv0TEJ1pSnNHjfYVEHcE/view?usp=sharing
한국해양대학교,2021,종합감사,https://drive.google.com/file/d/1hLX4f1F3PQL67-MExdH3mqyK7nURV56_/view?usp=sharing
